Round,Avg Accuracy,Std Accuracy
0,0.1592,0.0000
1,0.1254,0.0000
2,0.2077,0.0000
3,0.3005,0.0000
4,0.1011,0.0000
5,0.0974,0.0000
6,0.1730,0.0000
7,0.2934,0.0000
8,0.2642,0.0000
9,0.2826,0.0000
10,0.3406,0.0000
11,0.3334,0.0000
12,0.3011,0.0000
13,0.3437,0.0000
14,0.3657,0.0000
15,0.2004,0.0000
16,0.2857,0.0000
17,0.2486,0.0000
18,0.3916,0.0000
19,0.4686,0.0000
20,0.3238,0.0000
21,0.2836,0.0000
22,0.3580,0.0000
23,0.4124,0.0000
24,0.4290,0.0000
25,0.4997,0.0000
26,0.4224,0.0000
27,0.4745,0.0000
28,0.3991,0.0000
29,0.5261,0.0000
30,0.4009,0.0000
31,0.5126,0.0000
32,0.4046,0.0000
33,0.6233,0.0000
34,0.4847,0.0000
35,0.5504,0.0000
36,0.4446,0.0000
37,0.6053,0.0000
38,0.6188,0.0000
39,0.5982,0.0000
40,0.5046,0.0000
41,0.5518,0.0000
42,0.6495,0.0000
43,0.6519,0.0000
44,0.7285,0.0000
45,0.7038,0.0000
46,0.7070,0.0000
47,0.6487,0.0000
48,0.5656,0.0000
49,0.5153,0.0000
50,0.6727,0.0000
