Round,Avg Accuracy,Std Accuracy
0,0.1009,0.0050
1,0.1006,0.0038
2,0.0974,0.0000
3,0.1165,0.0128
4,0.1090,0.0166
5,0.1132,0.0210
6,0.1006,0.0025
7,0.1137,0.0001
8,0.1041,0.0013
9,0.1135,0.0000
10,0.1004,0.0022
11,0.0989,0.0029
12,0.1093,0.0144
13,0.1374,0.0416
14,0.1108,0.0271
15,0.1154,0.0013
16,0.1287,0.0224
17,0.1150,0.0025
18,0.1454,0.0456
19,0.1915,0.0173
20,0.2085,0.0776
21,0.2584,0.0498
22,0.1924,0.0276
23,0.2320,0.0464
24,0.1562,0.0119
25,0.1915,0.0852
26,0.1881,0.1153
27,0.2350,0.1230
28,0.2514,0.1130
29,0.2284,0.1191
30,0.2014,0.1402
31,0.2813,0.1303
32,0.2636,0.1161
33,0.2561,0.1122
34,0.1916,0.1205
35,0.3245,0.1571
36,0.3604,0.1822
37,0.2747,0.1281
38,0.2569,0.1534
39,0.1912,0.0875
40,0.3542,0.1785
41,0.3312,0.1314
42,0.2957,0.1539
43,0.3659,0.1859
44,0.4218,0.2286
45,0.4486,0.2223
46,0.3899,0.2310
47,0.4261,0.2284
48,0.4440,0.2469
49,0.4645,0.2425
50,0.4034,0.2651
