Round,Avg Accuracy,Std Accuracy
0,0.0914,0.0000
1,0.1028,0.0000
2,0.0958,0.0000
3,0.0702,0.0000
4,0.1010,0.0000
5,0.1028,0.0000
6,0.1010,0.0000
7,0.1028,0.0000
8,0.0955,0.0000
9,0.1009,0.0000
10,0.1036,0.0000
11,0.0892,0.0000
12,0.1010,0.0000
13,0.0974,0.0000
14,0.0958,0.0000
15,0.1284,0.0000
16,0.1028,0.0000
17,0.2024,0.0000
18,0.0982,0.0000
19,0.0958,0.0000
20,0.1028,0.0000
21,0.0980,0.0000
22,0.1867,0.0000
23,0.1510,0.0000
24,0.1781,0.0000
25,0.0892,0.0000
26,0.0958,0.0000
27,0.1135,0.0000
28,0.0980,0.0000
29,0.1145,0.0000
30,0.0958,0.0000
31,0.1028,0.0000
32,0.1553,0.0000
33,0.1988,0.0000
34,0.3057,0.0000
35,0.1933,0.0000
36,0.2375,0.0000
37,0.3296,0.0000
38,0.2923,0.0000
39,0.3253,0.0000
40,0.1063,0.0000
41,0.4686,0.0000
42,0.4509,0.0000
43,0.4785,0.0000
44,0.2913,0.0000
45,0.3705,0.0000
46,0.2765,0.0000
47,0.3793,0.0000
48,0.4399,0.0000
49,0.5206,0.0000
50,0.7022,0.0000
