Round,Avg Accuracy,Std Accuracy
0,0.0721,0.0117
1,0.1959,0.0000
2,0.0945,0.0143
3,0.1386,0.0295
4,0.1269,0.0230
5,0.1432,0.0230
6,0.1490,0.0432
7,0.1490,0.0432
8,0.1389,0.0568
9,0.1180,0.0569
10,0.1553,0.0349
11,0.1675,0.0402
12,0.1327,0.0453
13,0.1206,0.0285
14,0.1316,0.0394
15,0.1629,0.0467
16,0.1675,0.0402
17,0.0945,0.0143
18,0.0951,0.0136
19,0.1837,0.0172
20,0.1153,0.0342
21,0.1594,0.0000
22,0.1629,0.0467
23,0.1629,0.0467
24,0.1206,0.0285
25,0.1553,0.0349
26,0.1107,0.0000
27,0.1223,0.0268
28,0.0997,0.0081
29,0.1229,0.0523
30,0.1450,0.0506
31,0.0829,0.0099
32,0.1107,0.0355
33,0.1559,0.0566
34,0.1432,0.0230
35,0.1105,0.0400
36,0.1675,0.0402
37,0.1675,0.0402
38,0.0881,0.0089
39,0.1281,0.0498
40,0.0933,0.0136
41,0.1386,0.0295
42,0.1837,0.0172
43,0.1269,0.0230
44,0.1675,0.0402
45,0.1189,0.0561
46,0.1281,0.0480
47,0.0905,0.0197
48,0.1217,0.0528
49,0.1321,0.0386
50,0.1565,0.0558
