Round,Avg Accuracy,Std Accuracy
0,0.0994,0.0000
1,0.1014,0.0000
2,0.1194,0.0000
3,0.1522,0.0000
4,0.1818,0.0000
5,0.2004,0.0000
6,0.2131,0.0000
7,0.2334,0.0000
8,0.2478,0.0000
9,0.2577,0.0000
10,0.2677,0.0000
11,0.2783,0.0000
12,0.2870,0.0000
13,0.2951,0.0000
14,0.3049,0.0000
15,0.3154,0.0000
16,0.3243,0.0000
17,0.3364,0.0000
18,0.3423,0.0000
19,0.3520,0.0000
20,0.3615,0.0000
21,0.3665,0.0000
22,0.3711,0.0000
23,0.3734,0.0000
24,0.3796,0.0000
25,0.3843,0.0000
26,0.3879,0.0000
27,0.3904,0.0000
28,0.3958,0.0000
29,0.3998,0.0000
30,0.4013,0.0000
31,0.3996,0.0000
32,0.4011,0.0000
33,0.4034,0.0000
34,0.4010,0.0000
35,0.4040,0.0000
36,0.4067,0.0000
37,0.4105,0.0000
38,0.4134,0.0000
39,0.4138,0.0000
40,0.4168,0.0000
41,0.4172,0.0000
42,0.4196,0.0000
43,0.4239,0.0000
44,0.4251,0.0000
45,0.4215,0.0000
46,0.4248,0.0000
47,0.4286,0.0000
48,0.4276,0.0000
49,0.4303,0.0000
50,0.4319,0.0000
