Round,Avg Accuracy,Std Accuracy
0,0.1041,0.0000
1,0.1141,0.0000
2,0.1645,0.0000
3,0.2242,0.0000
4,0.2523,0.0000
5,0.3028,0.0000
6,0.3225,0.0000
7,0.3516,0.0000
8,0.3702,0.0000
9,0.3851,0.0000
10,0.3983,0.0000
11,0.4191,0.0000
12,0.4194,0.0000
13,0.4242,0.0000
14,0.4292,0.0000
15,0.4322,0.0000
16,0.4400,0.0000
17,0.4403,0.0000
18,0.4411,0.0000
19,0.4503,0.0000
20,0.4560,0.0000
21,0.4530,0.0000
22,0.4584,0.0000
23,0.4606,0.0000
24,0.4667,0.0000
25,0.4640,0.0000
26,0.4667,0.0000
27,0.4728,0.0000
28,0.4787,0.0000
29,0.4785,0.0000
30,0.4784,0.0000
31,0.4777,0.0000
32,0.4801,0.0000
33,0.4774,0.0000
34,0.4797,0.0000
35,0.4885,0.0000
36,0.4838,0.0000
37,0.4798,0.0000
38,0.4819,0.0000
39,0.4764,0.0000
40,0.4779,0.0000
41,0.4653,0.0000
42,0.4747,0.0000
43,0.4729,0.0000
44,0.4744,0.0000
45,0.4639,0.0000
46,0.4738,0.0000
47,0.4709,0.0000
48,0.4835,0.0000
49,0.4682,0.0000
50,0.4729,0.0000
