Round,Avg Accuracy,Std Accuracy
0,0.0948,0.0000
1,0.0924,0.0000
2,0.1037,0.0000
3,0.1540,0.0000
4,0.1793,0.0000
5,0.1944,0.0000
6,0.2129,0.0000
7,0.2291,0.0000
8,0.2724,0.0000
9,0.2872,0.0000
10,0.2978,0.0000
11,0.3118,0.0000
12,0.3255,0.0000
13,0.3351,0.0000
14,0.3390,0.0000
15,0.3360,0.0000
16,0.3429,0.0000
17,0.3453,0.0000
18,0.3501,0.0000
19,0.3524,0.0000
20,0.3558,0.0000
21,0.3573,0.0000
22,0.3594,0.0000
23,0.3583,0.0000
24,0.3562,0.0000
25,0.3593,0.0000
26,0.3640,0.0000
27,0.3739,0.0000
28,0.3815,0.0000
29,0.3879,0.0000
30,0.3939,0.0000
31,0.3947,0.0000
32,0.3936,0.0000
33,0.3937,0.0000
34,0.3904,0.0000
35,0.3873,0.0000
36,0.3859,0.0000
37,0.3831,0.0000
38,0.3833,0.0000
39,0.3825,0.0000
40,0.3864,0.0000
41,0.3864,0.0000
42,0.3863,0.0000
43,0.3871,0.0000
44,0.3875,0.0000
45,0.3875,0.0000
46,0.3846,0.0000
47,0.3846,0.0000
48,0.3865,0.0000
49,0.3919,0.0000
50,0.3955,0.0000
