Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.0959,0.0060
2,0.1051,0.0050
3,0.1296,0.0211
4,0.1516,0.0189
5,0.1379,0.0105
6,0.1431,0.0099
7,0.1598,0.0141
8,0.1749,0.0164
9,0.1894,0.0186
10,0.2056,0.0215
11,0.2193,0.0208
12,0.2301,0.0170
13,0.2400,0.0145
14,0.2479,0.0141
15,0.2501,0.0126
16,0.2501,0.0113
17,0.2479,0.0106
18,0.2450,0.0097
19,0.2420,0.0084
20,0.2405,0.0062
21,0.2387,0.0047
22,0.2380,0.0031
23,0.2376,0.0037
24,0.2379,0.0049
25,0.2386,0.0057
26,0.2388,0.0059
27,0.2399,0.0070
28,0.2413,0.0070
29,0.2424,0.0075
30,0.2429,0.0084
31,0.2432,0.0084
32,0.2442,0.0085
33,0.2448,0.0085
34,0.2458,0.0082
35,0.2476,0.0084
36,0.2505,0.0097
37,0.2527,0.0099
38,0.2547,0.0103
39,0.2565,0.0103
40,0.2574,0.0102
41,0.2582,0.0106
42,0.2583,0.0098
43,0.2587,0.0098
44,0.2593,0.0099
45,0.2609,0.0101
46,0.2632,0.0096
47,0.2643,0.0097
48,0.2648,0.0096
49,0.2654,0.0099
50,0.2658,0.0092
