Round,Avg Accuracy,Std Accuracy
0,0.4822,0.0000
1,0.4822,0.0000
2,0.4822,0.0000
3,0.4822,0.0000
4,0.4699,0.0000
5,0.4340,0.0000
6,0.4822,0.0000
7,0.4824,0.0000
8,0.4903,0.0000
9,0.4852,0.0000
10,0.4912,0.0000
11,0.4890,0.0000
12,0.4778,0.0000
13,0.4634,0.0000
14,0.4942,0.0000
15,0.4974,0.0000
16,0.5069,0.0000
17,0.4963,0.0000
18,0.4559,0.0000
19,0.4998,0.0000
20,0.5054,0.0000
21,0.5176,0.0000
22,0.5092,0.0000
23,0.5095,0.0000
24,0.5108,0.0000
25,0.5097,0.0000
26,0.4912,0.0000
27,0.4944,0.0000
28,0.5153,0.0000
29,0.5146,0.0000
30,0.5004,0.0000
31,0.4794,0.0000
32,0.4751,0.0000
33,0.4908,0.0000
34,0.4925,0.0000
35,0.4897,0.0000
36,0.4809,0.0000
37,0.4699,0.0000
38,0.4811,0.0000
39,0.4929,0.0000
40,0.4974,0.0000
41,0.4843,0.0000
42,0.4615,0.0000
43,0.4862,0.0000
44,0.4875,0.0000
45,0.4686,0.0000
46,0.4690,0.0000
47,0.4697,0.0000
48,0.4882,0.0000
49,0.4944,0.0000
50,0.5008,0.0000
