Round,Avg Accuracy,Std Accuracy
0,0.1262,0.0809
1,0.3826,0.1409
2,0.3698,0.1590
3,0.2330,0.1866
4,0.2330,0.1866
5,0.2330,0.1866
6,0.2830,0.1409
7,0.3826,0.1409
8,0.4822,0.0000
9,0.4822,0.0000
10,0.4822,0.0000
11,0.3326,0.2116
12,0.3326,0.2116
13,0.3326,0.2116
14,0.1758,0.2169
15,0.1988,0.2038
16,0.3556,0.1790
17,0.3254,0.2217
18,0.3254,0.2217
19,0.3254,0.2217
20,0.3326,0.2116
21,0.4822,0.0000
22,0.3556,0.1790
23,0.4822,0.0000
24,0.3826,0.1409
25,0.4822,0.0000
26,0.3698,0.1590
27,0.4822,0.0000
28,0.4822,0.0000
29,0.4822,0.0000
30,0.4822,0.0000
31,0.4822,0.0000
32,0.4822,0.0000
33,0.4822,0.0000
34,0.4822,0.0000
35,0.3826,0.1409
36,0.4822,0.0000
37,0.4822,0.0000
38,0.3698,0.1590
39,0.4822,0.0000
40,0.4822,0.0000
41,0.3826,0.1409
42,0.4822,0.0000
43,0.4822,0.0000
44,0.4822,0.0000
45,0.4822,0.0000
46,0.3826,0.1409
47,0.4822,0.0000
48,0.4822,0.0000
49,0.4822,0.0000
50,0.4822,0.0000
