Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1000,0.0000
2,0.1005,0.0000
3,0.1696,0.0000
4,0.2468,0.0000
5,0.2976,0.0000
6,0.3643,0.0000
7,0.3978,0.0000
8,0.4523,0.0000
9,0.5052,0.0000
10,0.5511,0.0000
11,0.5856,0.0000
12,0.6125,0.0000
13,0.6268,0.0000
14,0.6419,0.0000
15,0.6556,0.0000
16,0.6684,0.0000
17,0.6747,0.0000
18,0.6814,0.0000
19,0.6921,0.0000
20,0.6956,0.0000
21,0.6991,0.0000
22,0.6996,0.0000
23,0.7036,0.0000
24,0.7075,0.0000
25,0.7142,0.0000
26,0.7161,0.0000
27,0.7209,0.0000
28,0.7214,0.0000
29,0.7203,0.0000
30,0.7254,0.0000
31,0.7252,0.0000
32,0.7310,0.0000
33,0.7299,0.0000
34,0.7334,0.0000
35,0.7352,0.0000
36,0.7403,0.0000
37,0.7415,0.0000
38,0.7436,0.0000
39,0.7435,0.0000
40,0.7463,0.0000
41,0.7472,0.0000
42,0.7493,0.0000
43,0.7527,0.0000
44,0.7528,0.0000
45,0.7594,0.0000
46,0.7587,0.0000
47,0.7588,0.0000
48,0.7613,0.0000
49,0.7613,0.0000
50,0.7628,0.0000
