Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1492,0.0000
2,0.2178,0.0000
3,0.3180,0.0000
4,0.5491,0.0000
5,0.6148,0.0000
6,0.6594,0.0000
7,0.6718,0.0000
8,0.6487,0.0000
9,0.6500,0.0000
10,0.6221,0.0000
11,0.5027,0.0000
12,0.5711,0.0000
13,0.5409,0.0000
14,0.6380,0.0000
15,0.6694,0.0000
16,0.7017,0.0000
17,0.7067,0.0000
18,0.7300,0.0000
19,0.7261,0.0000
20,0.7333,0.0000
21,0.7437,0.0000
22,0.7529,0.0000
23,0.7305,0.0000
24,0.7519,0.0000
25,0.7550,0.0000
26,0.7600,0.0000
27,0.7549,0.0000
28,0.7638,0.0000
29,0.7621,0.0000
30,0.7755,0.0000
31,0.7682,0.0000
32,0.7805,0.0000
33,0.7606,0.0000
34,0.7777,0.0000
35,0.7530,0.0000
36,0.7896,0.0000
37,0.7714,0.0000
38,0.7934,0.0000
39,0.7811,0.0000
40,0.7824,0.0000
41,0.7768,0.0000
42,0.7946,0.0000
43,0.7752,0.0000
44,0.7972,0.0000
45,0.7899,0.0000
46,0.8021,0.0000
47,0.8052,0.0000
48,0.8015,0.0000
49,0.8078,0.0000
50,0.8087,0.0000
