Round,Avg Accuracy,Std Accuracy
0,0.1090,0.0000
1,0.1111,0.0000
2,0.1957,0.0000
3,0.2562,0.0000
4,0.2028,0.0000
5,0.2160,0.0000
6,0.2407,0.0000
7,0.2440,0.0000
8,0.2389,0.0000
9,0.2274,0.0000
10,0.2248,0.0000
11,0.2063,0.0000
12,0.2289,0.0000
13,0.2127,0.0000
14,0.2020,0.0000
15,0.2267,0.0000
16,0.2280,0.0000
17,0.2518,0.0000
18,0.2638,0.0000
19,0.2801,0.0000
20,0.2757,0.0000
21,0.2137,0.0000
22,0.1947,0.0000
23,0.1950,0.0000
24,0.1939,0.0000
25,0.1952,0.0000
26,0.1909,0.0000
27,0.1930,0.0000
28,0.2167,0.0000
29,0.1894,0.0000
30,0.2692,0.0000
31,0.1889,0.0000
32,0.2697,0.0000
33,0.1965,0.0000
34,0.2887,0.0000
35,0.2152,0.0000
36,0.2831,0.0000
37,0.2354,0.0000
38,0.2881,0.0000
39,0.2236,0.0000
40,0.2613,0.0000
41,0.2696,0.0000
42,0.2719,0.0000
43,0.2651,0.0000
44,0.2578,0.0000
45,0.2611,0.0000
46,0.2376,0.0000
47,0.2603,0.0000
48,0.2509,0.0000
49,0.2528,0.0000
50,0.2571,0.0000
