Round,Avg Accuracy,Std Accuracy
0,0.1016,0.0000
1,0.1951,0.0000
2,0.4221,0.0000
3,0.5091,0.0000
4,0.5908,0.0000
5,0.6546,0.0000
6,0.7197,0.0000
7,0.7719,0.0000
8,0.8522,0.0000
9,0.8423,0.0000
10,0.8992,0.0000
11,0.8957,0.0000
12,0.8955,0.0000
13,0.9094,0.0000
14,0.9282,0.0000
15,0.9358,0.0000
16,0.9392,0.0000
17,0.9423,0.0000
18,0.9442,0.0000
19,0.9472,0.0000
20,0.9483,0.0000
21,0.9494,0.0000
22,0.9517,0.0000
23,0.9591,0.0000
24,0.9623,0.0000
25,0.9624,0.0000
26,0.9638,0.0000
27,0.9650,0.0000
28,0.9649,0.0000
29,0.9662,0.0000
30,0.9651,0.0000
31,0.9616,0.0000
32,0.9625,0.0000
33,0.9667,0.0000
34,0.9707,0.0000
35,0.9675,0.0000
36,0.9676,0.0000
37,0.9716,0.0000
38,0.9740,0.0000
39,0.9635,0.0000
40,0.9575,0.0000
41,0.9706,0.0000
42,0.9764,0.0000
43,0.9730,0.0000
44,0.9719,0.0000
45,0.9756,0.0000
46,0.9760,0.0000
47,0.9762,0.0000
48,0.9762,0.0000
49,0.9789,0.0000
50,0.9796,0.0000
