Round,Avg Accuracy,Std Accuracy
0,0.0826,0.0133
1,0.1299,0.0467
2,0.1375,0.0504
3,0.1743,0.0557
4,0.2285,0.0399
5,0.2653,0.0164
6,0.3041,0.0178
7,0.3390,0.0250
8,0.3783,0.0282
9,0.4135,0.0313
10,0.4520,0.0381
11,0.4870,0.0390
12,0.5155,0.0411
13,0.5390,0.0373
14,0.5620,0.0374
15,0.5841,0.0419
16,0.6039,0.0359
17,0.6178,0.0304
18,0.6341,0.0304
19,0.6481,0.0274
20,0.6561,0.0263
21,0.6643,0.0247
22,0.6762,0.0203
23,0.6858,0.0186
24,0.6895,0.0161
25,0.6973,0.0141
26,0.7021,0.0144
27,0.7094,0.0171
28,0.7154,0.0150
29,0.7208,0.0150
30,0.7228,0.0136
31,0.7282,0.0132
32,0.7306,0.0126
33,0.7326,0.0132
34,0.7347,0.0128
35,0.7376,0.0134
36,0.7388,0.0141
37,0.7438,0.0124
38,0.7439,0.0123
39,0.7459,0.0125
40,0.7482,0.0131
41,0.7492,0.0123
42,0.7518,0.0122
43,0.7565,0.0115
44,0.7540,0.0133
45,0.7576,0.0102
46,0.7575,0.0112
47,0.7598,0.0126
48,0.7639,0.0108
49,0.7644,0.0124
50,0.7637,0.0118
