Round,Avg Accuracy,Std Accuracy
0,0.1594,0.0000
1,0.2099,0.0000
2,0.3044,0.0000
3,0.4560,0.0000
4,0.5659,0.0000
5,0.6317,0.0000
6,0.6235,0.0000
7,0.6831,0.0000
8,0.6374,0.0000
9,0.6837,0.0000
10,0.5963,0.0000
11,0.6653,0.0000
12,0.6119,0.0000
13,0.7253,0.0000
14,0.6889,0.0000
15,0.7379,0.0000
16,0.7203,0.0000
17,0.7310,0.0000
18,0.7307,0.0000
19,0.7286,0.0000
20,0.7321,0.0000
21,0.7255,0.0000
22,0.7154,0.0000
23,0.7288,0.0000
24,0.7409,0.0000
25,0.7427,0.0000
26,0.7407,0.0000
27,0.7493,0.0000
28,0.7587,0.0000
29,0.7603,0.0000
30,0.7671,0.0000
31,0.7739,0.0000
32,0.7736,0.0000
33,0.7702,0.0000
34,0.7794,0.0000
35,0.7854,0.0000
36,0.7783,0.0000
37,0.7895,0.0000
38,0.7842,0.0000
39,0.7822,0.0000
40,0.7707,0.0000
41,0.7759,0.0000
42,0.7737,0.0000
43,0.7747,0.0000
44,0.7674,0.0000
45,0.7765,0.0000
46,0.7704,0.0000
47,0.7852,0.0000
48,0.7931,0.0000
49,0.7882,0.0000
50,0.7963,0.0000
