Round,Avg Accuracy,Std Accuracy
0,0.0758,0.0000
1,0.1900,0.0000
2,0.3548,0.0000
3,0.5035,0.0000
4,0.4642,0.0000
5,0.5409,0.0000
6,0.4382,0.0000
7,0.3813,0.0000
8,0.4591,0.0000
9,0.5696,0.0000
10,0.5893,0.0000
11,0.6336,0.0000
12,0.6421,0.0000
13,0.6854,0.0000
14,0.7047,0.0000
15,0.6988,0.0000
16,0.7181,0.0000
17,0.6941,0.0000
18,0.7166,0.0000
19,0.7046,0.0000
20,0.7212,0.0000
21,0.6938,0.0000
22,0.7279,0.0000
23,0.7130,0.0000
24,0.7336,0.0000
25,0.7412,0.0000
26,0.7427,0.0000
27,0.7473,0.0000
28,0.7565,0.0000
29,0.7617,0.0000
30,0.7503,0.0000
31,0.7645,0.0000
32,0.7577,0.0000
33,0.7700,0.0000
34,0.7609,0.0000
35,0.7722,0.0000
36,0.7511,0.0000
37,0.7720,0.0000
38,0.7490,0.0000
39,0.7905,0.0000
40,0.7717,0.0000
41,0.7874,0.0000
42,0.7813,0.0000
43,0.7921,0.0000
44,0.7871,0.0000
45,0.7945,0.0000
46,0.7819,0.0000
47,0.7944,0.0000
48,0.7802,0.0000
49,0.7833,0.0000
50,0.7787,0.0000
