Round,Avg Accuracy,Std Accuracy
0,0.1107,0.0000
1,0.2107,0.0000
2,0.2230,0.0000
3,0.2556,0.0000
4,0.2608,0.0000
5,0.2619,0.0000
6,0.2462,0.0000
7,0.2510,0.0000
8,0.2547,0.0000
9,0.2532,0.0000
10,0.2559,0.0000
11,0.2457,0.0000
12,0.2634,0.0000
13,0.2168,0.0000
14,0.2518,0.0000
15,0.2470,0.0000
16,0.2521,0.0000
17,0.2310,0.0000
18,0.2226,0.0000
19,0.2555,0.0000
20,0.2521,0.0000
21,0.2263,0.0000
22,0.2523,0.0000
23,0.2092,0.0000
24,0.2533,0.0000
25,0.2096,0.0000
26,0.2268,0.0000
27,0.1972,0.0000
28,0.2371,0.0000
29,0.2577,0.0000
30,0.2633,0.0000
31,0.2636,0.0000
32,0.2338,0.0000
33,0.2434,0.0000
34,0.2488,0.0000
35,0.2262,0.0000
36,0.2440,0.0000
37,0.2440,0.0000
38,0.2473,0.0000
39,0.2270,0.0000
40,0.2445,0.0000
41,0.2183,0.0000
42,0.2313,0.0000
43,0.2319,0.0000
44,0.2447,0.0000
45,0.2297,0.0000
46,0.2530,0.0000
47,0.1847,0.0000
48,0.2114,0.0000
49,0.2481,0.0000
50,0.2490,0.0000
