Round,Avg Accuracy,Std Accuracy
0,0.0771,0.0000
1,0.1016,0.0000
2,0.1820,0.0000
3,0.2665,0.0000
4,0.3430,0.0000
5,0.3993,0.0000
6,0.4195,0.0000
7,0.4581,0.0000
8,0.4501,0.0000
9,0.4805,0.0000
10,0.4665,0.0000
11,0.4979,0.0000
12,0.4744,0.0000
13,0.5194,0.0000
14,0.5053,0.0000
15,0.5333,0.0000
16,0.5105,0.0000
17,0.5400,0.0000
18,0.5247,0.0000
19,0.5562,0.0000
20,0.5378,0.0000
21,0.5632,0.0000
22,0.5447,0.0000
23,0.5625,0.0000
24,0.5505,0.0000
25,0.5687,0.0000
26,0.5515,0.0000
27,0.5746,0.0000
28,0.5573,0.0000
29,0.5773,0.0000
30,0.5561,0.0000
31,0.5763,0.0000
32,0.5573,0.0000
33,0.5802,0.0000
34,0.5676,0.0000
35,0.5808,0.0000
36,0.5801,0.0000
37,0.5858,0.0000
38,0.5681,0.0000
39,0.5735,0.0000
40,0.5624,0.0000
41,0.5772,0.0000
42,0.5686,0.0000
43,0.5836,0.0000
44,0.5692,0.0000
45,0.5754,0.0000
46,0.5688,0.0000
47,0.5849,0.0000
48,0.5692,0.0000
49,0.5882,0.0000
50,0.5835,0.0000
