Round,Avg Accuracy,Std Accuracy
0,0.1063,0.0070
1,0.2293,0.0448
2,0.2407,0.0361
3,0.2072,0.0196
4,0.2075,0.0052
5,0.1976,0.0112
6,0.2018,0.0107
7,0.2075,0.0061
8,0.2087,0.0082
9,0.2121,0.0024
10,0.2085,0.0036
11,0.2145,0.0029
12,0.2133,0.0017
13,0.2159,0.0028
14,0.2173,0.0038
15,0.2166,0.0024
16,0.2166,0.0055
17,0.2179,0.0057
18,0.2181,0.0040
19,0.2204,0.0020
20,0.2101,0.0097
21,0.2156,0.0027
22,0.2079,0.0070
23,0.2145,0.0080
24,0.2092,0.0100
25,0.2100,0.0096
26,0.2090,0.0128
27,0.2078,0.0115
28,0.2079,0.0173
29,0.2013,0.0131
30,0.2039,0.0129
31,0.2048,0.0160
32,0.2058,0.0161
33,0.2093,0.0105
34,0.2140,0.0025
35,0.2137,0.0052
36,0.2142,0.0012
37,0.2123,0.0109
38,0.2080,0.0115
39,0.2109,0.0099
40,0.2097,0.0085
41,0.2091,0.0116
42,0.2086,0.0059
43,0.2023,0.0115
44,0.2044,0.0111
45,0.2098,0.0141
46,0.2073,0.0191
47,0.2099,0.0144
48,0.2073,0.0171
49,0.2080,0.0173
50,0.2011,0.0202
