Round,Avg Accuracy,Std Accuracy
0,0.0982,0.0025
1,0.1218,0.0175
2,0.1093,0.0094
3,0.1096,0.0176
4,0.1341,0.0305
5,0.1653,0.0461
6,0.1859,0.0607
7,0.1949,0.0674
8,0.1869,0.0622
9,0.1811,0.0582
10,0.1811,0.0601
11,0.1870,0.0645
12,0.1880,0.0638
13,0.1927,0.0662
14,0.1904,0.0641
15,0.1833,0.0589
16,0.1812,0.0575
17,0.1848,0.0600
18,0.1922,0.0653
19,0.1953,0.0675
20,0.1911,0.0649
21,0.1853,0.0615
22,0.1811,0.0589
23,0.1828,0.0595
24,0.1841,0.0602
25,0.1855,0.0607
26,0.1872,0.0617
27,0.1866,0.0614
28,0.1885,0.0627
29,0.1887,0.0628
30,0.1840,0.0598
31,0.1832,0.0592
32,0.1872,0.0619
33,0.1888,0.0629
34,0.1891,0.0630
35,0.1905,0.0641
36,0.1902,0.0638
37,0.1882,0.0624
38,0.1897,0.0638
39,0.1914,0.0650
40,0.1944,0.0670
41,0.1950,0.0672
42,0.1931,0.0661
43,0.1904,0.0642
44,0.1844,0.0602
45,0.1739,0.0560
46,0.1710,0.0559
47,0.1779,0.0576
48,0.1849,0.0607
49,0.1889,0.0629
50,0.1900,0.0636
