Round,Avg Accuracy,Std Accuracy
0,0.0406,0.0575
1,0.4822,0.0000
2,0.1206,0.0044
3,0.4822,0.0000
4,0.1224,0.0068
5,0.4882,0.0064
6,0.1277,0.0047
7,0.4895,0.0005
8,0.1136,0.0023
9,0.5123,0.0151
10,0.1449,0.0177
11,0.4925,0.0320
12,0.1831,0.0253
13,0.5085,0.0129
14,0.1873,0.0946
15,0.5092,0.0146
16,0.1549,0.0217
17,0.5083,0.0230
18,0.2264,0.0445
19,0.5082,0.0203
20,0.2047,0.0245
21,0.5040,0.0123
22,0.1653,0.0180
23,0.5172,0.0102
24,0.2076,0.0160
25,0.5201,0.0045
26,0.2141,0.0394
27,0.5166,0.0107
28,0.2272,0.0443
29,0.5091,0.0130
30,0.2434,0.0559
31,0.5108,0.0049
32,0.2621,0.0646
33,0.5105,0.0050
34,0.2688,0.0205
35,0.5015,0.0047
36,0.2736,0.0258
37,0.5015,0.0059
38,0.2853,0.0519
39,0.5061,0.0040
40,0.2961,0.0615
41,0.5137,0.0041
42,0.3283,0.0770
43,0.5179,0.0080
44,0.3152,0.0896
45,0.5185,0.0125
46,0.3484,0.0666
47,0.5145,0.0088
48,0.3429,0.0776
49,0.5042,0.0223
50,0.4068,0.0482
