Round,Avg Accuracy,Std Accuracy
0,0.1834,0.0000
1,0.4822,0.0000
2,0.5039,0.0000
3,0.5075,0.0000
4,0.3054,0.0000
5,0.4892,0.0000
6,0.3024,0.0000
7,0.4944,0.0000
8,0.3781,0.0000
9,0.5009,0.0000
10,0.3920,0.0000
11,0.5172,0.0000
12,0.4598,0.0000
13,0.5185,0.0000
14,0.4611,0.0000
15,0.5335,0.0000
16,0.4486,0.0000
17,0.5312,0.0000
18,0.4905,0.0000
19,0.5348,0.0000
20,0.4862,0.0000
21,0.5295,0.0000
22,0.4778,0.0000
23,0.5351,0.0000
24,0.5065,0.0000
25,0.5260,0.0000
26,0.5052,0.0000
27,0.5273,0.0000
28,0.5099,0.0000
29,0.5271,0.0000
30,0.5228,0.0000
31,0.5204,0.0000
32,0.5305,0.0000
33,0.5105,0.0000
34,0.5219,0.0000
35,0.5120,0.0000
36,0.5226,0.0000
37,0.5131,0.0000
38,0.5222,0.0000
39,0.5219,0.0000
40,0.5262,0.0000
41,0.5101,0.0000
42,0.5243,0.0000
43,0.5123,0.0000
44,0.5288,0.0000
45,0.5200,0.0000
46,0.5286,0.0000
47,0.5211,0.0000
48,0.5204,0.0000
49,0.5178,0.0000
50,0.5351,0.0000
