Round,Avg Accuracy,Std Accuracy
0,0.0751,0.0770
1,0.3817,0.0863
2,0.4840,0.0025
3,0.4845,0.0033
4,0.4858,0.0056
5,0.4298,0.0760
6,0.5033,0.0092
7,0.5013,0.0051
8,0.4993,0.0044
9,0.5106,0.0057
10,0.5209,0.0011
11,0.5257,0.0007
12,0.5228,0.0087
13,0.5093,0.0245
14,0.5171,0.0113
15,0.5345,0.0070
16,0.5434,0.0086
17,0.5443,0.0123
18,0.5358,0.0180
19,0.5267,0.0255
20,0.5056,0.0336
21,0.4895,0.0433
22,0.5025,0.0287
23,0.5225,0.0090
24,0.5321,0.0113
25,0.5349,0.0109
26,0.5317,0.0050
27,0.5247,0.0042
28,0.5141,0.0113
29,0.5088,0.0160
30,0.5110,0.0132
31,0.5126,0.0119
32,0.5122,0.0124
33,0.5117,0.0121
34,0.5115,0.0155
35,0.5153,0.0201
36,0.5107,0.0247
37,0.5035,0.0276
38,0.5045,0.0249
39,0.5075,0.0189
40,0.5124,0.0103
41,0.5158,0.0047
42,0.5165,0.0063
43,0.5152,0.0070
44,0.5108,0.0067
45,0.5070,0.0113
46,0.5091,0.0146
47,0.5135,0.0148
48,0.5153,0.0115
49,0.5176,0.0128
50,0.5192,0.0113
