Round,Avg Accuracy,Std Accuracy
0,0.1011,0.0020
1,0.1415,0.0372
2,0.2676,0.0822
3,0.3727,0.0716
4,0.4447,0.0236
5,0.4778,0.0132
6,0.5429,0.0170
7,0.6525,0.0151
8,0.7021,0.0071
9,0.7185,0.0243
10,0.7301,0.0168
11,0.7397,0.0145
12,0.7507,0.0167
13,0.7493,0.0245
14,0.7389,0.0346
15,0.7436,0.0300
16,0.7629,0.0187
17,0.7801,0.0103
18,0.7902,0.0041
19,0.7935,0.0045
20,0.7971,0.0055
21,0.8023,0.0053
22,0.8047,0.0069
23,0.8061,0.0099
24,0.8076,0.0112
25,0.8104,0.0098
26,0.8126,0.0094
27,0.8147,0.0092
28,0.8153,0.0108
29,0.8153,0.0112
30,0.8166,0.0095
31,0.8152,0.0059
32,0.8157,0.0035
33,0.8158,0.0015
34,0.8159,0.0018
35,0.8184,0.0007
36,0.8221,0.0043
37,0.8266,0.0065
38,0.8281,0.0060
39,0.8299,0.0029
40,0.8279,0.0013
41,0.8276,0.0027
42,0.8256,0.0015
43,0.8270,0.0016
44,0.8299,0.0013
45,0.8344,0.0030
46,0.8347,0.0046
47,0.8349,0.0064
48,0.8361,0.0027
49,0.8357,0.0002
50,0.8342,0.0013
