Round,Avg Accuracy,Std Accuracy
0,0.0712,0.0000
1,0.3993,0.0000
2,0.8199,0.0000
3,0.8860,0.0000
4,0.9313,0.0000
5,0.9483,0.0000
6,0.9581,0.0000
7,0.9577,0.0000
8,0.9658,0.0000
9,0.9677,0.0000
10,0.9705,0.0000
11,0.9752,0.0000
12,0.9725,0.0000
13,0.9750,0.0000
14,0.9777,0.0000
15,0.9764,0.0000
16,0.9789,0.0000
17,0.9796,0.0000
18,0.9787,0.0000
19,0.9806,0.0000
20,0.9804,0.0000
21,0.9803,0.0000
22,0.9825,0.0000
23,0.9824,0.0000
24,0.9829,0.0000
25,0.9830,0.0000
26,0.9817,0.0000
27,0.9837,0.0000
28,0.9841,0.0000
29,0.9830,0.0000
30,0.9832,0.0000
31,0.9839,0.0000
32,0.9847,0.0000
33,0.9833,0.0000
34,0.9843,0.0000
35,0.9849,0.0000
36,0.9839,0.0000
37,0.9831,0.0000
38,0.9832,0.0000
39,0.9846,0.0000
40,0.9841,0.0000
41,0.9849,0.0000
42,0.9848,0.0000
43,0.9850,0.0000
44,0.9858,0.0000
45,0.9856,0.0000
46,0.9849,0.0000
47,0.9854,0.0000
48,0.9846,0.0000
49,0.9856,0.0000
50,0.9858,0.0000
