Round,Avg Accuracy,Std Accuracy
0,0.0855,0.0137
1,0.6123,0.0468
2,0.7783,0.0186
3,0.8908,0.0052
4,0.9267,0.0018
5,0.9479,0.0043
6,0.9564,0.0022
7,0.9633,0.0022
8,0.9672,0.0015
9,0.9710,0.0022
10,0.9720,0.0007
11,0.9744,0.0009
12,0.9745,0.0007
13,0.9768,0.0012
14,0.9782,0.0014
15,0.9782,0.0017
16,0.9798,0.0013
17,0.9798,0.0009
18,0.9808,0.0010
19,0.9810,0.0006
20,0.9814,0.0004
21,0.9818,0.0002
22,0.9818,0.0003
23,0.9818,0.0009
24,0.9822,0.0004
25,0.9830,0.0007
26,0.9836,0.0006
27,0.9834,0.0007
28,0.9830,0.0002
29,0.9835,0.0004
30,0.9841,0.0002
31,0.9842,0.0005
32,0.9844,0.0007
33,0.9852,0.0005
34,0.9845,0.0007
35,0.9847,0.0009
36,0.9844,0.0004
37,0.9846,0.0005
38,0.9854,0.0004
39,0.9850,0.0004
40,0.9859,0.0007
41,0.9845,0.0010
42,0.9854,0.0014
43,0.9855,0.0017
44,0.9860,0.0010
45,0.9858,0.0007
46,0.9860,0.0016
47,0.9862,0.0008
48,0.9857,0.0013
49,0.9867,0.0009
50,0.9865,0.0015
