Round,Avg Accuracy,Std Accuracy
0,0.1167,0.0000
1,0.4324,0.0000
2,0.7416,0.0000
3,0.6976,0.0000
4,0.6533,0.0000
5,0.6628,0.0000
6,0.5622,0.0000
7,0.6028,0.0000
8,0.5101,0.0000
9,0.5327,0.0000
10,0.4320,0.0000
11,0.4393,0.0000
12,0.3846,0.0000
13,0.3790,0.0000
14,0.3582,0.0000
15,0.3286,0.0000
16,0.3163,0.0000
17,0.3198,0.0000
18,0.3168,0.0000
19,0.3156,0.0000
20,0.3138,0.0000
21,0.3116,0.0000
22,0.3102,0.0000
23,0.3034,0.0000
24,0.3026,0.0000
25,0.3020,0.0000
26,0.3010,0.0000
27,0.3004,0.0000
28,0.3000,0.0000
29,0.2998,0.0000
30,0.2999,0.0000
31,0.2990,0.0000
32,0.2980,0.0000
33,0.2981,0.0000
34,0.2969,0.0000
35,0.2981,0.0000
36,0.2976,0.0000
37,0.2970,0.0000
38,0.2973,0.0000
39,0.2980,0.0000
40,0.2979,0.0000
41,0.2985,0.0000
42,0.2987,0.0000
43,0.2968,0.0000
44,0.2967,0.0000
45,0.2943,0.0000
46,0.2957,0.0000
47,0.2943,0.0000
48,0.2947,0.0000
49,0.2924,0.0000
50,0.2929,0.0000
