Round,Avg Accuracy,Std Accuracy
0,0.0759,0.0000
1,0.1988,0.0000
2,0.5554,0.0000
3,0.6888,0.0000
4,0.7480,0.0000
5,0.7755,0.0000
6,0.7941,0.0000
7,0.7929,0.0000
8,0.7863,0.0000
9,0.8008,0.0000
10,0.8062,0.0000
11,0.8145,0.0000
12,0.8070,0.0000
13,0.8058,0.0000
14,0.8133,0.0000
15,0.8090,0.0000
16,0.8206,0.0000
17,0.8158,0.0000
18,0.8217,0.0000
19,0.8198,0.0000
20,0.8253,0.0000
21,0.7901,0.0000
22,0.8157,0.0000
23,0.8213,0.0000
24,0.8191,0.0000
25,0.8211,0.0000
26,0.8235,0.0000
27,0.8249,0.0000
28,0.8278,0.0000
29,0.8261,0.0000
30,0.8218,0.0000
31,0.8231,0.0000
32,0.8241,0.0000
33,0.8200,0.0000
34,0.8226,0.0000
35,0.8234,0.0000
36,0.8216,0.0000
37,0.8224,0.0000
38,0.8249,0.0000
39,0.8244,0.0000
40,0.8246,0.0000
41,0.8247,0.0000
42,0.8243,0.0000
43,0.8246,0.0000
44,0.8270,0.0000
45,0.8265,0.0000
46,0.8289,0.0000
47,0.8243,0.0000
48,0.8227,0.0000
49,0.8235,0.0000
50,0.8261,0.0000
