Round,Avg Accuracy,Std Accuracy
0,0.1201,0.0000
1,0.1887,0.0000
2,0.2313,0.0000
3,0.3742,0.0000
4,0.4484,0.0000
5,0.4914,0.0000
6,0.5229,0.0000
7,0.5687,0.0000
8,0.6299,0.0000
9,0.6826,0.0000
10,0.7169,0.0000
11,0.7316,0.0000
12,0.7329,0.0000
13,0.7260,0.0000
14,0.7186,0.0000
15,0.7124,0.0000
16,0.7028,0.0000
17,0.6928,0.0000
18,0.6842,0.0000
19,0.6778,0.0000
20,0.6719,0.0000
21,0.6694,0.0000
22,0.6768,0.0000
23,0.6872,0.0000
24,0.7030,0.0000
25,0.7189,0.0000
26,0.7342,0.0000
27,0.7455,0.0000
28,0.7560,0.0000
29,0.7636,0.0000
30,0.7709,0.0000
31,0.7763,0.0000
32,0.7834,0.0000
33,0.7872,0.0000
34,0.7902,0.0000
35,0.7921,0.0000
36,0.7936,0.0000
37,0.7947,0.0000
38,0.7956,0.0000
39,0.7966,0.0000
40,0.7974,0.0000
41,0.8012,0.0000
42,0.8047,0.0000
43,0.8079,0.0000
44,0.8097,0.0000
45,0.8110,0.0000
46,0.8131,0.0000
47,0.8150,0.0000
48,0.8152,0.0000
49,0.8156,0.0000
50,0.8154,0.0000
