Round,Avg Accuracy,Std Accuracy
0,0.0937,0.0000
1,0.1774,0.0000
2,0.5422,0.0000
3,0.6069,0.0000
4,0.6322,0.0000
5,0.6458,0.0000
6,0.6565,0.0000
7,0.6634,0.0000
8,0.6680,0.0000
9,0.6724,0.0000
10,0.6768,0.0000
11,0.6831,0.0000
12,0.6843,0.0000
13,0.6850,0.0000
14,0.6882,0.0000
15,0.6884,0.0000
16,0.6915,0.0000
17,0.6928,0.0000
18,0.6923,0.0000
19,0.6974,0.0000
20,0.6979,0.0000
21,0.6996,0.0000
22,0.6994,0.0000
23,0.6991,0.0000
24,0.7016,0.0000
25,0.6965,0.0000
26,0.7044,0.0000
27,0.7023,0.0000
28,0.7051,0.0000
29,0.7052,0.0000
30,0.7091,0.0000
31,0.7067,0.0000
32,0.7063,0.0000
33,0.7092,0.0000
34,0.7103,0.0000
35,0.7108,0.0000
36,0.7147,0.0000
37,0.7090,0.0000
38,0.7136,0.0000
39,0.7125,0.0000
40,0.7111,0.0000
41,0.7117,0.0000
42,0.7161,0.0000
43,0.7115,0.0000
44,0.7117,0.0000
45,0.7140,0.0000
46,0.7122,0.0000
47,0.7172,0.0000
48,0.7161,0.0000
49,0.7174,0.0000
50,0.7185,0.0000
