Round,Avg Accuracy,Std Accuracy
0,0.0903,0.0000
1,0.1299,0.0000
2,0.2088,0.0000
3,0.3523,0.0000
4,0.4260,0.0000
5,0.4521,0.0000
6,0.4642,0.0000
7,0.4649,0.0000
8,0.4670,0.0000
9,0.4719,0.0000
10,0.4821,0.0000
11,0.4978,0.0000
12,0.5091,0.0000
13,0.5233,0.0000
14,0.5370,0.0000
15,0.5519,0.0000
16,0.5673,0.0000
17,0.5814,0.0000
18,0.5926,0.0000
19,0.6025,0.0000
20,0.6109,0.0000
21,0.6101,0.0000
22,0.6137,0.0000
23,0.6152,0.0000
24,0.6166,0.0000
25,0.6173,0.0000
26,0.6191,0.0000
27,0.6169,0.0000
28,0.6186,0.0000
29,0.6195,0.0000
30,0.6218,0.0000
31,0.6228,0.0000
32,0.6259,0.0000
33,0.6287,0.0000
34,0.6316,0.0000
35,0.6329,0.0000
36,0.6355,0.0000
37,0.6372,0.0000
38,0.6382,0.0000
39,0.6403,0.0000
40,0.6430,0.0000
41,0.6455,0.0000
42,0.6500,0.0000
43,0.6525,0.0000
44,0.6559,0.0000
45,0.6603,0.0000
46,0.6628,0.0000
47,0.6640,0.0000
48,0.6641,0.0000
49,0.6644,0.0000
50,0.6676,0.0000
