Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1926,0.0000
2,0.2825,0.0000
3,0.2823,0.0000
4,0.3057,0.0000
5,0.3143,0.0000
6,0.3201,0.0000
7,0.3261,0.0000
8,0.3413,0.0000
9,0.3533,0.0000
10,0.3547,0.0000
11,0.3557,0.0000
12,0.3562,0.0000
13,0.3569,0.0000
14,0.3585,0.0000
15,0.3602,0.0000
16,0.3650,0.0000
17,0.3628,0.0000
18,0.3603,0.0000
19,0.3577,0.0000
20,0.3581,0.0000
21,0.3596,0.0000
22,0.3609,0.0000
23,0.3614,0.0000
24,0.3601,0.0000
25,0.3596,0.0000
26,0.3582,0.0000
27,0.3591,0.0000
28,0.3583,0.0000
29,0.3585,0.0000
30,0.3593,0.0000
31,0.3587,0.0000
32,0.3592,0.0000
33,0.3602,0.0000
34,0.3597,0.0000
35,0.3590,0.0000
36,0.3590,0.0000
37,0.3581,0.0000
38,0.3574,0.0000
39,0.3558,0.0000
40,0.3554,0.0000
41,0.3579,0.0000
42,0.3581,0.0000
43,0.3572,0.0000
44,0.3577,0.0000
45,0.3565,0.0000
46,0.3565,0.0000
47,0.3580,0.0000
48,0.3574,0.0000
49,0.3583,0.0000
50,0.3568,0.0000
