Round,Avg Accuracy,Std Accuracy
0,0.0980,0.0028
1,0.1974,0.0270
2,0.4079,0.0053
3,0.4408,0.0061
4,0.4458,0.0034
5,0.4374,0.0046
6,0.4304,0.0055
7,0.4250,0.0056
8,0.4225,0.0052
9,0.4191,0.0042
10,0.4160,0.0058
11,0.4151,0.0062
12,0.4133,0.0089
13,0.4114,0.0071
14,0.4109,0.0070
15,0.4085,0.0073
16,0.4080,0.0075
17,0.4059,0.0075
18,0.4068,0.0062
19,0.4071,0.0048
20,0.4073,0.0058
21,0.4049,0.0058
22,0.4065,0.0064
23,0.4055,0.0064
24,0.4058,0.0059
25,0.4051,0.0061
26,0.4042,0.0064
27,0.4041,0.0055
28,0.4032,0.0048
29,0.4024,0.0053
30,0.4027,0.0051
31,0.4013,0.0055
32,0.4010,0.0049
33,0.4012,0.0046
34,0.4004,0.0044
35,0.4001,0.0055
36,0.3996,0.0050
37,0.3991,0.0053
38,0.3997,0.0050
39,0.3988,0.0054
40,0.3989,0.0043
41,0.3983,0.0045
42,0.3981,0.0050
43,0.3984,0.0047
44,0.3981,0.0053
45,0.3981,0.0049
46,0.3979,0.0047
47,0.3971,0.0048
48,0.3971,0.0047
49,0.3973,0.0051
50,0.3973,0.0045
