Round,Avg Accuracy,Std Accuracy
0,0.0995,0.0007
1,0.1026,0.0025
2,0.1539,0.0366
3,0.2359,0.0469
4,0.2989,0.0505
5,0.3317,0.0406
6,0.3435,0.0232
7,0.3432,0.0151
8,0.3372,0.0188
9,0.3289,0.0266
10,0.3257,0.0300
11,0.3261,0.0315
12,0.3285,0.0322
13,0.3330,0.0311
14,0.3367,0.0299
15,0.3423,0.0283
16,0.3476,0.0271
17,0.3540,0.0249
18,0.3607,0.0217
19,0.3674,0.0201
20,0.3729,0.0185
21,0.3779,0.0168
22,0.3827,0.0153
23,0.3862,0.0137
24,0.3884,0.0128
25,0.3915,0.0119
26,0.3932,0.0106
27,0.3942,0.0102
28,0.3945,0.0095
29,0.3951,0.0092
30,0.3950,0.0087
31,0.3948,0.0076
32,0.3953,0.0069
33,0.3948,0.0063
34,0.3943,0.0061
35,0.3946,0.0054
36,0.3950,0.0047
37,0.3949,0.0046
38,0.3947,0.0048
39,0.3948,0.0050
40,0.3944,0.0054
41,0.3939,0.0046
42,0.3939,0.0049
43,0.3936,0.0047
44,0.3936,0.0050
45,0.3930,0.0050
46,0.3928,0.0055
47,0.3925,0.0052
48,0.3926,0.0053
49,0.3928,0.0047
50,0.3923,0.0048
