Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.2745,0.0000
2,0.4230,0.0000
3,0.4403,0.0000
4,0.4412,0.0000
5,0.4454,0.0000
6,0.4419,0.0000
7,0.4427,0.0000
8,0.4401,0.0000
9,0.4405,0.0000
10,0.4391,0.0000
11,0.4369,0.0000
12,0.4377,0.0000
13,0.4365,0.0000
14,0.4366,0.0000
15,0.4366,0.0000
16,0.4330,0.0000
17,0.4319,0.0000
18,0.4302,0.0000
19,0.4326,0.0000
20,0.4291,0.0000
21,0.4284,0.0000
22,0.4264,0.0000
23,0.4243,0.0000
24,0.4224,0.0000
25,0.4217,0.0000
26,0.4175,0.0000
27,0.4152,0.0000
28,0.4165,0.0000
29,0.4152,0.0000
30,0.4131,0.0000
31,0.4100,0.0000
32,0.4088,0.0000
33,0.4098,0.0000
34,0.4099,0.0000
35,0.4070,0.0000
36,0.4104,0.0000
37,0.4104,0.0000
38,0.4099,0.0000
39,0.4068,0.0000
40,0.4063,0.0000
41,0.4070,0.0000
42,0.4069,0.0000
43,0.4047,0.0000
44,0.4043,0.0000
45,0.4011,0.0000
46,0.3972,0.0000
47,0.3966,0.0000
48,0.3972,0.0000
49,0.3921,0.0000
50,0.3929,0.0000
