Round,Avg Accuracy,Std Accuracy
0,0.1166,0.0200
1,0.4822,0.0000
2,0.4998,0.0015
3,0.5184,0.0068
4,0.5417,0.0069
5,0.5571,0.0043
6,0.5720,0.0059
7,0.5722,0.0029
8,0.5817,0.0034
9,0.5845,0.0052
10,0.5826,0.0030
11,0.5807,0.0071
12,0.5868,0.0092
13,0.5838,0.0057
14,0.5812,0.0241
15,0.5792,0.0152
16,0.5835,0.0093
17,0.5699,0.0270
18,0.5721,0.0064
19,0.5667,0.0160
20,0.5629,0.0198
21,0.5666,0.0099
22,0.5731,0.0082
23,0.5631,0.0084
24,0.5637,0.0072
25,0.5744,0.0029
26,0.5741,0.0118
27,0.5460,0.0193
28,0.5748,0.0004
29,0.5710,0.0056
30,0.5640,0.0127
31,0.5595,0.0124
32,0.5706,0.0053
33,0.5490,0.0223
34,0.5726,0.0065
35,0.5338,0.0271
36,0.5654,0.0112
37,0.5677,0.0143
38,0.5513,0.0191
39,0.5662,0.0212
40,0.5753,0.0077
41,0.5768,0.0067
42,0.5750,0.0085
43,0.5709,0.0096
44,0.5629,0.0065
45,0.5706,0.0073
46,0.5432,0.0235
47,0.5707,0.0064
48,0.5698,0.0083
49,0.5492,0.0117
50,0.5704,0.0053
