Round,Avg Accuracy,Std Accuracy
0,0.1024,0.0000
1,0.1884,0.0000
2,0.5099,0.0000
3,0.5252,0.0000
4,0.5209,0.0000
5,0.5209,0.0000
6,0.5284,0.0000
7,0.5314,0.0000
8,0.5447,0.0000
9,0.5465,0.0000
10,0.5497,0.0000
11,0.5583,0.0000
12,0.5473,0.0000
13,0.5346,0.0000
14,0.5305,0.0000
15,0.5480,0.0000
16,0.5535,0.0000
17,0.5533,0.0000
18,0.5518,0.0000
19,0.5462,0.0000
20,0.5409,0.0000
21,0.5394,0.0000
22,0.5404,0.0000
23,0.5432,0.0000
24,0.5456,0.0000
25,0.5525,0.0000
26,0.5598,0.0000
27,0.5561,0.0000
28,0.5604,0.0000
29,0.5637,0.0000
30,0.5686,0.0000
31,0.5684,0.0000
32,0.5671,0.0000
33,0.5656,0.0000
34,0.5708,0.0000
35,0.5746,0.0000
36,0.5718,0.0000
37,0.5710,0.0000
38,0.5643,0.0000
39,0.5546,0.0000
40,0.5503,0.0000
41,0.5490,0.0000
42,0.5432,0.0000
43,0.5452,0.0000
44,0.5486,0.0000
45,0.5566,0.0000
46,0.5604,0.0000
47,0.5619,0.0000
48,0.5628,0.0000
49,0.5703,0.0000
50,0.5654,0.0000
