Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.6567,0.0649
2,0.8237,0.0047
3,0.8518,0.0038
4,0.8642,0.0026
5,0.8718,0.0007
6,0.8772,0.0016
7,0.8802,0.0009
8,0.8829,0.0024
9,0.8836,0.0028
10,0.8853,0.0025
11,0.8857,0.0023
12,0.8863,0.0015
13,0.8868,0.0022
14,0.8863,0.0008
15,0.8879,0.0013
16,0.8877,0.0013
17,0.8873,0.0013
18,0.8869,0.0018
19,0.8875,0.0016
20,0.8872,0.0013
21,0.8868,0.0013
22,0.8871,0.0011
23,0.8874,0.0011
24,0.8875,0.0011
25,0.8881,0.0016
26,0.8876,0.0015
27,0.8879,0.0015
28,0.8883,0.0010
29,0.8882,0.0014
30,0.8890,0.0012
31,0.8880,0.0013
32,0.8879,0.0014
33,0.8886,0.0017
34,0.8878,0.0008
35,0.8878,0.0008
36,0.8880,0.0003
37,0.8879,0.0009
38,0.8890,0.0004
39,0.8879,0.0004
40,0.8877,0.0008
41,0.8877,0.0004
42,0.8880,0.0005
43,0.8880,0.0005
44,0.8879,0.0006
45,0.8881,0.0005
46,0.8874,0.0007
47,0.8884,0.0008
48,0.8873,0.0002
49,0.8887,0.0008
50,0.8880,0.0005
