Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.2169,0.0000
2,0.4507,0.0000
3,0.4773,0.0000
4,0.5106,0.0000
5,0.5556,0.0000
6,0.6223,0.0000
7,0.7316,0.0000
8,0.8099,0.0000
9,0.8230,0.0000
10,0.8239,0.0000
11,0.8240,0.0000
12,0.8261,0.0000
13,0.8281,0.0000
14,0.8357,0.0000
15,0.8410,0.0000
16,0.8510,0.0000
17,0.8562,0.0000
18,0.8639,0.0000
19,0.8684,0.0000
20,0.8717,0.0000
21,0.8734,0.0000
22,0.8746,0.0000
23,0.8746,0.0000
24,0.8763,0.0000
25,0.8757,0.0000
26,0.8763,0.0000
27,0.8746,0.0000
28,0.8756,0.0000
29,0.8764,0.0000
30,0.8772,0.0000
31,0.8776,0.0000
32,0.8780,0.0000
33,0.8780,0.0000
34,0.8778,0.0000
35,0.8771,0.0000
36,0.8779,0.0000
37,0.8791,0.0000
38,0.8797,0.0000
39,0.8795,0.0000
40,0.8797,0.0000
41,0.8811,0.0000
42,0.8810,0.0000
43,0.8817,0.0000
44,0.8820,0.0000
45,0.8826,0.0000
46,0.8821,0.0000
47,0.8830,0.0000
48,0.8836,0.0000
49,0.8838,0.0000
50,0.8841,0.0000
