Round,Avg Accuracy,Std Accuracy
0,0.1214,0.0254
1,0.9469,0.0062
2,0.9815,0.0004
3,0.9849,0.0001
4,0.9866,0.0001
5,0.9873,0.0003
6,0.9884,0.0002
7,0.9887,0.0003
8,0.9886,0.0002
9,0.9888,0.0000
10,0.9891,0.0003
11,0.9892,0.0004
12,0.9894,0.0004
13,0.9893,0.0003
14,0.9893,0.0001
15,0.9894,0.0001
16,0.9896,0.0001
17,0.9896,0.0001
18,0.9897,0.0004
19,0.9897,0.0002
20,0.9899,0.0002
21,0.9897,0.0002
22,0.9898,0.0003
23,0.9898,0.0002
24,0.9899,0.0006
25,0.9898,0.0006
26,0.9900,0.0006
27,0.9902,0.0004
28,0.9899,0.0006
29,0.9902,0.0007
30,0.9902,0.0008
31,0.9901,0.0011
32,0.9902,0.0007
33,0.9900,0.0011
34,0.9900,0.0007
35,0.9901,0.0005
36,0.9902,0.0005
37,0.9902,0.0009
38,0.9902,0.0004
39,0.9899,0.0006
40,0.9900,0.0003
41,0.9901,0.0004
42,0.9898,0.0004
43,0.9900,0.0004
44,0.9901,0.0004
45,0.9903,0.0004
46,0.9903,0.0005
47,0.9904,0.0006
48,0.9904,0.0004
49,0.9900,0.0009
50,0.9902,0.0005
