Round,Avg Accuracy,Std Accuracy
0,0.1219,0.0270
1,0.4097,0.0822
2,0.8896,0.0079
3,0.9417,0.0154
4,0.9577,0.0151
5,0.9690,0.0103
6,0.9764,0.0061
7,0.9810,0.0037
8,0.9845,0.0021
9,0.9860,0.0016
10,0.9863,0.0008
11,0.9861,0.0004
12,0.9857,0.0005
13,0.9849,0.0003
14,0.9844,0.0007
15,0.9847,0.0005
16,0.9853,0.0008
17,0.9855,0.0005
18,0.9859,0.0001
19,0.9862,0.0000
20,0.9869,0.0003
21,0.9867,0.0003
22,0.9874,0.0004
23,0.9876,0.0001
24,0.9876,0.0004
25,0.9879,0.0005
26,0.9880,0.0005
27,0.9882,0.0003
28,0.9881,0.0002
29,0.9884,0.0003
30,0.9883,0.0001
31,0.9886,0.0006
32,0.9888,0.0008
33,0.9887,0.0008
34,0.9887,0.0009
35,0.9888,0.0010
36,0.9889,0.0008
37,0.9891,0.0006
38,0.9892,0.0004
39,0.9893,0.0004
40,0.9894,0.0005
41,0.9893,0.0005
42,0.9893,0.0007
43,0.9894,0.0006
44,0.9892,0.0005
45,0.9890,0.0005
46,0.9891,0.0005
47,0.9890,0.0006
48,0.9889,0.0006
49,0.9889,0.0005
50,0.9889,0.0005
