Round,Avg Accuracy,Std Accuracy
0,0.0759,0.0000
1,0.1963,0.0000
2,0.6673,0.0000
3,0.7453,0.0000
4,0.7718,0.0000
5,0.7774,0.0000
6,0.7693,0.0000
7,0.7602,0.0000
8,0.7883,0.0000
9,0.8209,0.0000
10,0.8306,0.0000
11,0.8241,0.0000
12,0.8286,0.0000
13,0.8352,0.0000
14,0.8404,0.0000
15,0.8459,0.0000
16,0.8495,0.0000
17,0.8472,0.0000
18,0.8485,0.0000
19,0.8515,0.0000
20,0.8551,0.0000
21,0.8567,0.0000
22,0.8568,0.0000
23,0.8543,0.0000
24,0.8506,0.0000
25,0.8489,0.0000
26,0.8514,0.0000
27,0.8538,0.0000
28,0.8557,0.0000
29,0.8549,0.0000
30,0.8556,0.0000
31,0.8553,0.0000
32,0.8531,0.0000
33,0.8501,0.0000
34,0.8547,0.0000
35,0.8569,0.0000
36,0.8566,0.0000
37,0.8514,0.0000
38,0.8383,0.0000
39,0.8349,0.0000
40,0.8398,0.0000
41,0.8489,0.0000
42,0.8543,0.0000
43,0.8541,0.0000
44,0.8523,0.0000
45,0.8557,0.0000
46,0.8579,0.0000
47,0.8601,0.0000
48,0.8592,0.0000
49,0.8547,0.0000
50,0.8496,0.0000
