Round,Avg Accuracy,Std Accuracy
0,0.0613,0.0000
1,0.3124,0.0000
2,0.8498,0.0000
3,0.8647,0.0000
4,0.8706,0.0000
5,0.8724,0.0000
6,0.8748,0.0000
7,0.8762,0.0000
8,0.8776,0.0000
9,0.8791,0.0000
10,0.8805,0.0000
11,0.8794,0.0000
12,0.8806,0.0000
13,0.8809,0.0000
14,0.8801,0.0000
15,0.8819,0.0000
16,0.8809,0.0000
17,0.8811,0.0000
18,0.8815,0.0000
19,0.8820,0.0000
20,0.8815,0.0000
21,0.8819,0.0000
22,0.8823,0.0000
23,0.8818,0.0000
24,0.8815,0.0000
25,0.8787,0.0000
26,0.8819,0.0000
27,0.8814,0.0000
28,0.8821,0.0000
29,0.8821,0.0000
30,0.8804,0.0000
31,0.8814,0.0000
32,0.8801,0.0000
33,0.8812,0.0000
34,0.8805,0.0000
35,0.8805,0.0000
36,0.8812,0.0000
37,0.8806,0.0000
38,0.8808,0.0000
39,0.8795,0.0000
40,0.8819,0.0000
41,0.8796,0.0000
42,0.8789,0.0000
43,0.8801,0.0000
44,0.8795,0.0000
45,0.8800,0.0000
46,0.8795,0.0000
47,0.8793,0.0000
48,0.8735,0.0000
49,0.8785,0.0000
50,0.8781,0.0000
