Round,Avg Accuracy,Std Accuracy
0,0.0638,0.0000
1,0.1999,0.0000
2,0.3241,0.0000
3,0.4522,0.0000
4,0.7006,0.0000
5,0.7854,0.0000
6,0.8121,0.0000
7,0.8233,0.0000
8,0.8287,0.0000
9,0.8371,0.0000
10,0.8444,0.0000
11,0.8498,0.0000
12,0.8520,0.0000
13,0.8534,0.0000
14,0.8538,0.0000
15,0.8525,0.0000
16,0.8524,0.0000
17,0.8505,0.0000
18,0.8488,0.0000
19,0.8485,0.0000
20,0.8511,0.0000
21,0.8534,0.0000
22,0.8563,0.0000
23,0.8576,0.0000
24,0.8594,0.0000
25,0.8616,0.0000
26,0.8631,0.0000
27,0.8641,0.0000
28,0.8652,0.0000
29,0.8671,0.0000
30,0.8676,0.0000
31,0.8680,0.0000
32,0.8690,0.0000
33,0.8704,0.0000
34,0.8705,0.0000
35,0.8703,0.0000
36,0.8695,0.0000
37,0.8700,0.0000
38,0.8704,0.0000
39,0.8703,0.0000
40,0.8715,0.0000
41,0.8720,0.0000
42,0.8721,0.0000
43,0.8723,0.0000
44,0.8717,0.0000
45,0.8713,0.0000
46,0.8711,0.0000
47,0.8710,0.0000
48,0.8703,0.0000
49,0.8703,0.0000
50,0.8707,0.0000
