Round,Accuracy
0,0.7649
1,0.8159
2,0.8535
3,0.8399
4,0.8558
5,0.8524
6,0.8397
7,0.8508
8,0.8495
9,0.8514
10,0.8538
11,0.8551
12,0.8538
13,0.8472
14,0.8449
15,0.8483
16,0.8474
17,0.8471
18,0.8437
19,0.8471
20,0.8463
21,0.8419
22,0.8399
23,0.8414
24,0.8445
25,0.8466
26,0.8445
27,0.8406
28,0.8411
29,0.8392
30,0.8408
31,0.8368
32,0.8376
33,0.8348
34,0.8414
35,0.8425
36,0.8409
37,0.8385
38,0.8385
39,0.8345
40,0.8316
41,0.8294
42,0.8334
43,0.8389
44,0.8415
45,0.8431
46,0.8357
47,0.8279
48,0.8288
49,0.8322
50,0.8376
