Round,Accuracy
0,0.1094
1,0.2612
2,0.407
3,0.4723
4,0.5046
5,0.5258
6,0.5328
7,0.5376
8,0.5429
9,0.5522
10,0.5576
11,0.5603
12,0.5673
13,0.5693
14,0.5765
15,0.5789
16,0.5835
17,0.5854
18,0.5869
19,0.5918
20,0.5935
21,0.5973
22,0.5987
23,0.5991
24,0.6008
25,0.6042
26,0.6017
27,0.6043
28,0.6054
29,0.6073
30,0.6065
31,0.6074
32,0.6111
33,0.6149
34,0.6143
35,0.6156
36,0.6179
37,0.6162
38,0.6169
39,0.618
40,0.6192
41,0.6207
42,0.623
43,0.6247
44,0.6244
45,0.6251
46,0.6264
47,0.6259
48,0.6268
49,0.6273
50,0.6251
