Round,Accuracy
0,0.0983
1,0.298
2,0.4228
3,0.4845
4,0.5156
5,0.5421
6,0.5519
7,0.5696
8,0.5804
9,0.5934
10,0.5999
11,0.6048
12,0.6142
13,0.6183
14,0.6221
15,0.6261
16,0.6285
17,0.6312
18,0.6373
19,0.6394
20,0.6436
21,0.6469
22,0.6473
23,0.6531
24,0.6502
25,0.6524
26,0.6558
27,0.6589
28,0.6585
29,0.664
30,0.666
31,0.6681
32,0.6708
33,0.6695
34,0.6725
35,0.6735
36,0.6729
37,0.6792
38,0.6778
39,0.6791
40,0.6812
41,0.679
42,0.681
43,0.6806
44,0.6852
45,0.6854
46,0.6866
47,0.6861
48,0.6884
49,0.6903
50,0.689
