Round,Accuracy
0,0.0522
1,0.1216
2,0.2357
3,0.3177
4,0.3471
5,0.3688
6,0.3847
7,0.4039
8,0.4221
9,0.4387
10,0.4483
11,0.4639
12,0.4839
13,0.4949
14,0.5019
15,0.5093
16,0.5225
17,0.5315
18,0.5368
19,0.5362
20,0.5449
21,0.5546
22,0.551
23,0.5561
24,0.5583
25,0.5654
26,0.5707
27,0.5747
28,0.5782
29,0.587
30,0.5876
31,0.5887
32,0.584
33,0.5904
34,0.5889
35,0.5889
36,0.5996
37,0.5866
38,0.5943
39,0.5916
40,0.5983
41,0.6041
42,0.6045
43,0.6061
44,0.6085
45,0.6073
46,0.6046
47,0.6066
48,0.6088
49,0.6125
50,0.6181
