Round,Accuracy
0,0.1
1,0.1211
2,0.1141
3,0.1435
4,0.1626
5,0.1741
6,0.1933
7,0.2145
8,0.2273
9,0.2507
10,0.2636
11,0.2808
12,0.2969
13,0.3053
14,0.319
15,0.3263
16,0.3454
17,0.3531
18,0.3548
19,0.368
20,0.3662
21,0.3794
22,0.3801
23,0.3884
24,0.3968
25,0.4049
26,0.4079
27,0.4168
28,0.4186
29,0.4296
30,0.4282
31,0.43
32,0.4305
33,0.4402
34,0.4431
35,0.4465
36,0.452
37,0.4534
38,0.4541
39,0.4603
40,0.4598
41,0.4646
42,0.4634
43,0.4646
44,0.4673
45,0.471
46,0.4743
47,0.4708
48,0.4762
49,0.4775
50,0.4799
