Round,Accuracy
0,0.095
1,0.153
2,0.3314
3,0.4571
4,0.5285
5,0.5674
6,0.5964
7,0.6097
8,0.6195
9,0.6311
10,0.6393
11,0.6439
12,0.6529
13,0.6574
14,0.6603
15,0.6627
16,0.6662
17,0.6724
18,0.6713
19,0.6754
20,0.675
21,0.6757
22,0.6786
23,0.679
24,0.6804
25,0.6833
26,0.6848
27,0.6878
28,0.6876
29,0.6891
30,0.6927
31,0.6926
32,0.6959
33,0.6951
34,0.6937
35,0.6935
36,0.6945
37,0.6956
38,0.6965
39,0.6964
40,0.6971
41,0.6976
42,0.6964
43,0.696
44,0.6978
45,0.7017
46,0.7018
47,0.7011
48,0.7022
49,0.7015
50,0.706
