Round,Accuracy
0,0.1028
1,0.1789
2,0.1449
3,0.1449
4,0.4822
5,0.4822
6,0.4822
7,0.4822
8,0.4955
9,0.4951
10,0.4955
11,0.492
12,0.4845
13,0.4837
14,0.483
15,0.4951
16,0.4981
17,0.4935
18,0.4978
19,0.4998
20,0.488
21,0.4959
22,0.489
23,0.4942
24,0.5168
25,0.4224
26,0.2415
27,0.4778
28,0.4862
29,0.5215
30,0.5258
31,0.4867
32,0.5013
33,0.5213
34,0.5484
35,0.532
36,0.5249
37,0.5224
38,0.5465
39,0.5456
40,0.5488
41,0.5434
42,0.5273
43,0.5299
44,0.5443
45,0.5342
46,0.5333
47,0.5239
48,0.5204
49,0.5232
50,0.5303
