Round,Accuracy
0,0.0333
1,0.4822
2,0.4822
3,0.4822
4,0.4822
5,0.4916
6,0.4458
7,0.4447
8,0.5004
9,0.5069
10,0.511
11,0.531
12,0.543
13,0.5452
14,0.5415
15,0.5411
16,0.5439
17,0.5529
18,0.5518
19,0.5508
20,0.5518
21,0.5503
22,0.5501
23,0.5452
24,0.5396
25,0.5471
26,0.5473
27,0.5492
28,0.5488
29,0.5445
30,0.5411
31,0.5417
32,0.537
33,0.5357
34,0.5344
35,0.5329
36,0.5391
37,0.5437
38,0.5495
39,0.5499
40,0.5499
41,0.5495
42,0.549
43,0.5469
44,0.5439
45,0.5432
46,0.5486
47,0.5505
48,0.5533
49,0.5452
50,0.549
