Round,Accuracy
0,0.1024
1,0.1024
2,0.4822
3,0.4822
4,0.4828
5,0.4153
6,0.4039
7,0.4987
8,0.506
9,0.5118
10,0.5288
11,0.5316
12,0.5456
13,0.5523
14,0.5462
15,0.5037
16,0.4492
17,0.4471
18,0.4649
19,0.4834
20,0.477
21,0.4828
22,0.4824
23,0.4759
24,0.4662
25,0.4665
26,0.4804
27,0.489
28,0.4951
29,0.5041
30,0.5017
31,0.4822
32,0.472
33,0.469
34,0.4763
35,0.4862
36,0.4944
37,0.497
38,0.5015
39,0.5032
40,0.5043
41,0.4991
42,0.4933
43,0.4963
44,0.503
45,0.508
46,0.5108
47,0.5133
48,0.5034
49,0.4976
50,0.4976
