Round,Accuracy
0,0.1449
1,0.1449
2,0.4378
3,0.4271
4,0.4523
5,0.4983
6,0.506
7,0.5067
8,0.5069
9,0.5155
10,0.5303
11,0.5398
12,0.5439
13,0.5396
14,0.5333
15,0.5449
16,0.5596
17,0.5682
18,0.5753
19,0.5763
20,0.5776
21,0.5791
22,0.5783
23,0.5841
24,0.5852
25,0.5794
26,0.5778
27,0.5692
28,0.5703
29,0.5744
30,0.5772
31,0.5826
32,0.5811
33,0.5798
34,0.5744
35,0.5673
36,0.5697
37,0.5692
38,0.5665
39,0.571
40,0.569
41,0.5738
42,0.5742
43,0.5757
44,0.5718
45,0.5712
46,0.5662
47,0.5617
48,0.5587
49,0.5602
50,0.553
