Round,Accuracy
0,0.1
1,0.534
2,0.74
3,0.7753
4,0.7978
5,0.809
6,0.8163
7,0.8231
8,0.8285
9,0.8321
10,0.8347
11,0.8359
12,0.8383
13,0.8406
14,0.842
15,0.8421
16,0.8436
17,0.8443
18,0.8445
19,0.8444
20,0.8438
21,0.8457
22,0.8453
23,0.845
24,0.845
25,0.8452
26,0.8452
27,0.8455
28,0.8447
29,0.8451
30,0.8462
31,0.8456
32,0.8459
33,0.8466
34,0.8463
35,0.8456
36,0.8468
37,0.847
38,0.8474
39,0.8471
40,0.847
41,0.8485
42,0.8481
43,0.8476
44,0.8482
45,0.8489
46,0.8491
47,0.8488
48,0.848
49,0.8472
50,0.8476
