Round,Accuracy
0,0.1
1,0.464
2,0.7606
3,0.8202
4,0.8452
5,0.8609
6,0.87
7,0.8749
8,0.8797
9,0.8819
10,0.8844
11,0.8849
12,0.887
13,0.8878
14,0.888
15,0.8892
16,0.8901
17,0.8909
18,0.8901
19,0.8909
20,0.8904
21,0.8904
22,0.8918
23,0.8923
24,0.8926
25,0.8926
26,0.8935
27,0.8933
28,0.8939
29,0.8946
30,0.8943
31,0.8941
32,0.894
33,0.8939
34,0.8936
35,0.894
36,0.8941
37,0.894
38,0.8942
39,0.8937
40,0.8941
41,0.8944
42,0.8938
43,0.8943
44,0.8944
45,0.8942
46,0.894
47,0.895
48,0.8941
49,0.8941
50,0.8937
