Round,Accuracy
0,0.1001
1,0.4163
2,0.7261
3,0.798
4,0.8236
5,0.8386
6,0.8466
7,0.8532
8,0.8591
9,0.8618
10,0.8659
11,0.8661
12,0.8688
13,0.8698
14,0.8721
15,0.8731
16,0.876
17,0.8769
18,0.8778
19,0.8804
20,0.8807
21,0.8814
22,0.8822
23,0.8832
24,0.8836
25,0.8838
26,0.8846
27,0.8847
28,0.8851
29,0.8856
30,0.8853
31,0.8851
32,0.8856
33,0.8857
34,0.8852
35,0.8857
36,0.8868
37,0.8857
38,0.8867
39,0.8866
40,0.8866
41,0.8862
42,0.8872
43,0.8875
44,0.8868
45,0.8868
46,0.8874
47,0.8872
48,0.8871
49,0.8872
50,0.8867
