Round,Accuracy
0,0.1542
1,0.911
2,0.9693
3,0.978
4,0.9822
5,0.9852
6,0.986
7,0.9875
8,0.9884
9,0.9891
10,0.9894
11,0.9904
12,0.9905
13,0.9909
14,0.9914
15,0.9919
16,0.9922
17,0.9923
18,0.9921
19,0.9919
20,0.9923
21,0.9924
22,0.9926
23,0.9927
24,0.9929
25,0.9931
26,0.9931
27,0.9931
28,0.9928
29,0.9932
30,0.9936
31,0.9932
32,0.9929
33,0.9932
34,0.9934
35,0.9932
36,0.9934
37,0.993
38,0.9933
39,0.9932
40,0.9933
41,0.9932
42,0.9935
43,0.9934
44,0.993
45,0.9931
46,0.9932
47,0.9931
48,0.9932
49,0.993
50,0.9931
