Round,Accuracy
0,0.0741
1,0.9128
2,0.9668
3,0.9779
4,0.9821
5,0.9851
6,0.9865
7,0.9873
8,0.9882
9,0.9888
10,0.9892
11,0.9893
12,0.9899
13,0.9902
14,0.9903
15,0.9904
16,0.9908
17,0.9907
18,0.9908
19,0.9909
20,0.9907
21,0.9909
22,0.9912
23,0.9912
24,0.9912
25,0.9915
26,0.9913
27,0.9913
28,0.9915
29,0.9919
30,0.9919
31,0.9921
32,0.9919
33,0.9921
34,0.9921
35,0.9921
36,0.9923
37,0.9922
38,0.992
39,0.9919
40,0.9918
41,0.992
42,0.992
43,0.9919
44,0.9918
45,0.9919
46,0.992
47,0.9918
48,0.9921
49,0.9921
50,0.9919
