Round,Accuracy
0,0.1011
1,0.5519
2,0.805
3,0.8607
4,0.9138
5,0.9434
6,0.9592
7,0.9658
8,0.9714
9,0.9754
10,0.9777
11,0.9794
12,0.9815
13,0.9825
14,0.9834
15,0.9837
16,0.9844
17,0.9846
18,0.9848
19,0.985
20,0.9854
21,0.9854
22,0.9859
23,0.9861
24,0.9861
25,0.9864
26,0.9867
27,0.9866
28,0.9868
29,0.9869
30,0.9872
31,0.9876
32,0.9879
33,0.9876
34,0.9877
35,0.9883
36,0.9886
37,0.9887
38,0.9889
39,0.9886
40,0.9891
41,0.989
42,0.9889
43,0.9891
44,0.9892
45,0.9894
46,0.9894
47,0.9894
48,0.9892
49,0.9894
50,0.9891
