Round,Accuracy
0,0.0993
1,0.1731
2,0.3351
3,0.5333
4,0.5746
5,0.6871
6,0.7427
7,0.7766
8,0.801
9,0.8175
10,0.8475
11,0.8494
12,0.8771
13,0.8932
14,0.9022
15,0.9009
16,0.9159
17,0.9169
18,0.9225
19,0.9202
20,0.9256
21,0.9289
22,0.9357
23,0.9346
24,0.9413
25,0.9401
26,0.9425
27,0.9425
28,0.9466
29,0.9474
30,0.9476
31,0.9503
32,0.9497
33,0.9528
34,0.9513
35,0.9531
36,0.9517
37,0.9532
38,0.9559
39,0.9555
40,0.957
41,0.9551
42,0.9582
43,0.9583
44,0.9586
45,0.9602
46,0.9603
47,0.961
48,0.961
49,0.96
50,0.9617
