Round,Accuracy
0,0.1157
1,0.8015
2,0.9616
3,0.9745
4,0.9803
5,0.9835
6,0.9843
7,0.9862
8,0.9864
9,0.9872
10,0.9877
11,0.9887
12,0.9893
13,0.9897
14,0.9899
15,0.9904
16,0.9907
17,0.9907
18,0.9908
19,0.9909
20,0.9907
21,0.9908
22,0.9907
23,0.9906
24,0.9909
25,0.9907
26,0.9909
27,0.9909
28,0.9909
29,0.9909
30,0.991
31,0.9913
32,0.9912
33,0.9912
34,0.9913
35,0.9909
36,0.9913
37,0.991
38,0.9912
39,0.9913
40,0.9913
41,0.9914
42,0.9916
43,0.9915
44,0.9918
45,0.9913
46,0.9918
47,0.9917
48,0.9913
49,0.9914
50,0.9911
