Round,Accuracy
0,0.0969
1,0.1956
2,0.1959
3,0.0963
4,0.1596
5,0.0898
6,0.1959
7,0.1215
8,0.1959
9,0.1594
10,0.1959
11,0.1107
12,0.1959
13,0.1575
14,0.1959
15,0.1579
16,0.1959
17,0.1594
18,0.1959
19,0.1594
20,0.1959
21,0.1596
22,0.1959
23,0.142
24,0.1959
25,0.1108
26,0.1959
27,0.1107
28,0.1959
29,0.1107
30,0.1959
31,0.1127
32,0.1959
33,0.111
34,0.1959
35,0.1107
36,0.1959
37,0.1144
38,0.1959
39,0.1107
40,0.1951
41,0.097
42,0.1594
43,0.1144
44,0.1594
45,0.1448
46,0.1594
47,0.1947
48,0.1594
49,0.1959
50,0.1594
